amfi_code,CAGR_3yr,Sharpe,Max_DD,scheme_name,category,plan_type,StdDev_ann,AUM_crore
100016,0.0015935656456500524,-0.20151706755966933,-0.24734440880673303,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Regular,0.14548134802183876,6434
100025,0.047718251695277436,-0.5670947928476847,-0.04308263824636349,HDFC Short Term Debt Fund - Regular - Growth,Debt,Regular,0.039052455281001604,27953
100033,0.3375958695571646,1.0936987435346308,-0.16217208574644848,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Regular,0.18936710835214166,23185
101206,0.3272566097608747,1.0272133278753697,-0.11291596329323073,ABSL Frontline Equity Fund - Regular - Growth,Equity,Regular,0.14568212847454326,23500
101207,-0.0315942467620105,0.16266076928646758,-0.3544691649336603,ABSL Small Cap Fund - Regular - Growth,Equity,Regular,0.2579732221707774,41613
101208,0.06080205049018561,-0.8155673679088286,-0.0016224980244717857,ABSL Liquid Fund - Regular - Growth,Debt,Regular,0.005064371352310742,38995
102885,0.1825384585690104,0.8170993373494371,-0.1085986215250232,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Regular,0.1283662839786056,7350
102886,-0.01993645366016883,-0.20583160785470306,-0.2800112356639287,UTI Mid Cap Fund - Regular - Growth,Equity,Regular,0.18134576297311303,41728
102887,0.26212376157937856,0.6195175900829829,-0.21539827112383225,UTI Flexi Cap Fund - Regular - Growth,Equity,Regular,0.15758366917912994,17912
118632,0.181852590182084,1.0816591793457044,-0.17414075086657232,Nippon India Large Cap Fund - Regular - Growth,Equity,Regular,0.14148352294996655,20909
118633,0.18485694594317437,0.6452074382933216,-0.18629743138595511,Nippon India Large Cap Fund - Direct - Growth,Equity,Direct,0.13997213649186155,39475
118634,0.08599903481542981,0.44843400890899143,-0.2334488614483311,Nippon India Small Cap Fund - Regular - Growth,Equity,Regular,0.2524152094634046,43630
118635,0.16656645561983252,0.664856998549062,-0.1165062450540909,Nippon India ETF Nifty 50 BeES,Equity,Direct,0.12983158874316306,20284
118636,0.042117574166855354,-0.3566295075143679,-0.08316361763638702,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Regular,0.039855381553882616,30030
119092,0.006093199259856963,0.030784850954585913,-0.1440161790933726,Axis Bluechip Fund - Regular - Growth,Equity,Regular,0.13950661341123835,25803
119093,0.19927376280644427,0.1296144979566933,-0.21751396370148224,Axis Bluechip Fund - Direct - Growth,Equity,Direct,0.13983295593638856,15866
119094,0.36236320218826146,0.9982309868636414,-0.20960883862039192,Axis Midcap Fund - Regular - Growth,Equity,Regular,0.1940711742333472,28996
119095,-0.11218962208312377,-0.07597357117478937,-0.5167775370852656,Axis Small Cap Fund - Regular - Growth,Equity,Regular,0.2506658023260044,21545
119120,0.055578076192641435,-0.2265753866279158,-0.04328728923970093,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Regular,0.039670623690338705,24101
119551,0.28193107333721334,1.208266567372718,-0.1501238549864533,SBI Bluechip Fund - Regular Plan - Growth,Equity,Regular,0.13741434141879644,14288
119552,0.15199091421256816,0.9532794968660105,-0.11803493502764295,SBI Bluechip Fund - Direct Plan - Growth,Equity,Direct,0.13939367612717501,1231
119598,0.2807585983623553,0.9453082575156094,-0.2870600572176455,SBI Small Cap Fund - Regular Plan - Growth,Equity,Regular,0.25140578624384674,19259
119599,0.0018484664592763878,-0.05718662582818005,-0.5257422117012851,SBI Small Cap Fund - Direct Plan - Growth,Equity,Direct,0.24950125122855862,36061
