fund_code,date_id,nav
119551,3,54.3856
119551,4,54.3474
119551,5,54.6869
119551,6,55.455
119551,7,55.3692
119551,10,55.2835
119551,11,56.0878
119551,12,56.4978
119551,13,56.2934
119551,14,56.5926
119551,17,56.3908
119551,18,56.1887
119551,19,56.3378
119551,20,55.4237
119551,21,54.6151
119551,24,54.373
119551,25,53.9173
119551,26,54.0948
119551,27,53.6911
119551,28,53.0538
119551,31,53.7718
119551,32,53.6925
119551,33,53.7522
119551,34,53.1084
119551,35,52.8813
119551,38,52.9604
119551,39,52.4526
119551,40,52.6538
119551,41,52.4027
119551,42,52.295
119551,45,52.0451
119551,46,52.9295
119551,47,52.9506
119551,48,52.486
119551,49,52.8954
119551,52,52.3559
119551,53,52.4795
119551,54,51.607
119551,55,51.0323
119551,56,51.1474
119551,59,51.5081
119551,60,51.6126
119551,61,51.5866
119551,62,51.4764
119551,63,50.8357
119551,66,50.5401
119551,67,50.3612
119551,68,50.8591
119551,69,51.0398
119551,70,50.2783
119551,73,50.4482
119551,74,50.3031
119551,75,50.0295
119551,76,50.3261
119551,77,50.8119
119551,80,51.2574
119551,81,50.9057
119551,82,50.7933
119551,83,50.9682
119551,84,51.4351
119551,87,51.2446
119551,88,51.1872
119551,89,50.7163
119551,90,50.21
119551,91,50.5972
119551,94,51.2324
119551,95,51.2263
119551,96,51.7084
119551,97,51.9003
119551,98,51.6325
119551,101,51.8241
119551,102,52.5589
119551,103,52.5694
119551,104,53.3273
119551,105,52.1363
119551,108,52.5427
119551,109,52.6102
119551,110,52.4987
119551,111,52.5683
119551,112,51.6815
119551,115,51.6081
119551,116,51.7976
119551,117,52.5042
119551,118,52.2918
119551,119,51.947
119551,122,51.7444
119551,123,52.1907
119551,124,52.3692
119551,125,52.152
119551,126,52.4157
119551,129,52.4876
119551,130,52.9653
119551,131,52.6655
119551,132,52.5406
119551,133,52.3863
119551,136,51.7412
119551,137,51.9032
119551,138,52.0497
119551,139,52.0789
119551,140,51.9981
119551,143,51.3796
119551,144,51.2157
119551,145,51.0875
119551,146,50.7535
119551,147,50.7075
119551,150,50.9148
119551,151,51.7955
119551,152,51.9021
119551,153,52.047
119551,154,52.0396
119551,157,51.1928
119551,158,51.2073
119551,159,51.2609
119551,160,52.4137
119551,161,52.3519
119551,164,52.5184
119551,165,52.5294
119551,166,52.0176
119551,167,52.5716
119551,168,52.9487
119551,171,53.3469
119551,172,52.9481
119551,173,53.6349
119551,174,53.0032
119551,175,53.3057
119551,178,54.3735
119551,179,53.9284
119551,180,53.6874
119551,181,53.7624
119551,182,53.5518
119551,185,52.8517
119551,186,52.9109
119551,187,52.4446
119551,188,52.6913
119551,189,52.2927
119551,192,53.0398
119551,193,52.7019
119551,194,52.5795
119551,195,52.9854
119551,196,52.4404
119551,199,52.5728
119551,200,53.2098
119551,201,52.4879
119551,202,52.6005
119551,203,52.7484
119551,206,53.1408
119551,207,52.5914
119551,208,52.0093
119551,209,52.2762
119551,210,52.4404
119551,213,52.5835
119551,214,52.7716
119551,215,52.4831
119551,216,52.6179
119551,217,52.7813
119551,220,52.4768
119551,221,53.375
119551,222,53.6262
119551,223,53.0931
119551,224,53.429
119551,227,52.999
119551,228,53.3957
119551,229,53.9719
119551,230,53.6103
119551,231,54.0957
119551,234,54.321
119551,235,54.7445
119551,236,55.6967
119551,237,55.6049
119551,238,55.265
119551,241,54.8615
119551,242,54.4963
119551,243,54.4873
119551,244,54.6797
119551,245,54.8416
119551,248,55.2716
119551,249,55.3065
119551,250,56.0489
119551,251,55.9471
119551,252,57.3351
119551,255,57.6821
119551,256,57.2772
119551,257,56.7681
119551,258,57.0396
119551,259,56.9566
119551,262,57.346
119551,263,57.6156
119551,264,57.6083
119551,265,57.2092
119551,266,56.4791
119551,269,56.2861
119551,270,56.7421
119551,271,56.8787
119551,272,56.2863
119551,273,56.4014
119551,276,56.6226
119551,277,56.2119
119551,278,56.3172
119551,279,56.3752
119551,280,55.8386
119551,283,56.044
119551,284,56.3509
119551,285,56.9211
119551,286,57.4822
119551,287,56.8173
119551,290,56.3784
119551,291,56.6643
119551,292,56.951
119551,293,57.2398
119551,294,59.2487
119551,297,59.5784
119551,298,60.2091
119551,299,60.7492
119551,300,61.1307
119551,301,60.9924
119551,304,61.4337
119551,305,61.0479
119551,306,60.952
119551,307,60.723
119551,308,60.7982
119551,311,62.0841
119551,312,61.1016
119551,313,61.5042
119551,314,60.6669
119551,315,60.4461
119551,318,61.0609
119551,319,61.1271
119551,320,60.5801
119551,321,60.2302
119551,322,60.6235
119551,325,60.2653
119551,326,60.4117
119551,327,60.4671
119551,328,60.1517
119551,329,61.3315
119551,332,61.7071
119551,333,60.6461
119551,334,60.7772
119551,335,60.4547
119551,336,60.9424
119551,339,60.5491
119551,340,60.5191
119551,341,60.8206
119551,342,61.3184
119551,343,60.704
119551,346,60.5564
119551,347,60.3344
119551,348,60.0187
119551,349,60.992
119551,350,61.2418
119551,353,60.5958
119551,354,61.1198
119551,355,62.3067
119551,356,62.909
119551,357,62.1037
119551,360,61.871
119551,361,62.5984
119551,362,62.2411
119551,363,62.5174
119551,364,62.9784
119551,367,62.4979
119551,368,62.4974
119551,369,60.7675
119551,370,60.2521
119551,371,60.149
119551,374,59.5214
119551,375,60.4157
119551,376,59.6893
119551,377,59.4887
119551,378,59.5881
119551,381,60.3815
119551,382,59.6525
119551,383,60.2986
119551,384,60.3352
119551,385,59.8461
119551,388,60.1215
119551,389,60.2582
119551,390,59.971
119551,391,60.0389
119551,392,59.8661
119551,395,59.9569
119551,396,60.3392
119551,397,61.2207
119551,398,60.5873
119551,399,61.7697
119551,402,60.7467
119551,403,60.6967
119551,404,61.0439
119551,405,61.227
119551,406,60.9231
119551,409,60.8427
119551,410,60.61
119551,411,60.3269
119551,412,60.812
119551,413,61.0353
119551,416,60.6947
119551,417,61.2097
119551,418,61.4075
119551,419,61.8812
119551,420,62.2579
119551,423,61.8363
119551,424,61.5633
119551,425,62.0024
119551,426,62.3692
119551,427,62.3899
119551,430,62.4867
119551,431,63.2274
119551,432,62.9308
119551,433,63.2678
119551,434,63.1877
119551,437,63.099
119551,438,63.7463
119551,439,64.2452
119551,440,64.7412
119551,441,65.5247
119551,444,65.5706
119551,445,66.0002
119551,446,65.8538
119551,447,66.0764
119551,448,66.0347
119551,451,66.1253
119551,452,66.5076
119551,453,66.0635
119551,454,67.3286
119551,455,66.7683
119551,458,66.0912
119551,459,66.8042
119551,460,67.3069
119551,461,67.7134
119551,462,68.1248
119551,465,68.1526
119551,466,67.6503
119551,467,67.7305
119551,468,67.3619
119551,469,67.9788
119551,472,67.9257
119551,473,67.4678
119551,474,67.3115
119551,475,67.592
119551,476,67.2915
119551,479,66.8398
119551,480,67.0181
119551,481,67.1977
119551,482,66.9325
119551,483,66.6894
119551,486,66.8605
119551,487,66.0461
119551,488,65.265
119551,489,64.8863
119551,490,64.7977
119551,493,65.0091
119551,494,65.8945
119551,495,66.4291
119551,496,66.3697
119551,497,66.3928
119551,500,65.8423
119551,501,65.8655
119551,502,65.732
119551,503,65.9533
119551,504,65.5077
119551,507,65.8424
119551,508,66.7729
119551,509,66.7433
119551,510,67.0147
119551,511,67.4587
119551,514,67.2551
119551,515,67.4229
119551,516,67.4652
119551,517,67.5582
119551,518,67.1338
119551,521,67.1829
119551,522,67.5135
119551,523,68.4183
119551,524,69.0352
119551,525,70.395
119551,528,69.9563
119551,529,70.5329
119551,530,70.6835
119551,531,72.099
119551,532,71.6238
119551,535,71.132
119551,536,70.7935
119551,537,69.5157
119551,538,69.2298
119551,539,68.8034
119551,542,68.9302
119551,543,69.174
119551,544,70.3644
119551,545,70.9932
119551,546,70.6694
119551,549,70.1479
119551,550,70.4892
119551,551,69.7092
119551,552,70.8808
119551,553,71.6589
119551,556,71.3998
119551,557,70.3655
119551,558,71.2474
119551,559,71.2122
119551,560,72.031
119551,563,71.0619
119551,564,70.7237
119551,565,70.7635
119551,566,70.8294
119551,567,70.5852
119551,570,71.0106
119551,571,70.3814
119551,572,70.3294
119551,573,70.4404
119551,574,70.7972
119551,577,71.2797
119551,578,70.6126
119551,579,69.6996
119551,580,70.5258
119551,581,70.7693
119551,584,70.34
119551,585,71.3456
119551,586,71.4553
119551,587,72.2396
119551,588,72.3199
119551,591,73.6843
119551,592,74.8724
119551,593,74.7468
119551,594,75.4289
119551,595,75.8986
119551,598,76.8599
119551,599,76.2479
119551,600,76.7502
119551,601,77.51
119551,602,76.3564
119551,605,75.6027
119551,606,74.2935
119551,607,74.1555
119551,608,74.6647
119551,609,75.6996
119551,612,75.7882
119551,613,76.9243
119551,614,76.0329
119551,615,74.9379
119551,616,74.9398
119551,619,75.2329
119551,620,75.25
119551,621,73.9285
119551,622,73.9086
119551,623,73.1009
119551,626,73.5718
119551,627,73.8482
119551,628,73.2764
119551,629,72.9827
119551,630,72.3414
119551,633,72.3387
119551,634,72.9883
119551,635,72.3939
119551,636,72.7539
119551,637,72.4519
119551,640,71.9841
119551,641,71.9533
119551,642,71.3362
119551,643,71.0253
119551,644,70.3152
119551,647,71.5811
119551,648,71.6403
119551,649,71.2363
119551,650,71.4077
119551,651,71.3738
119551,654,71.2716
119551,655,71.6957
119551,656,72.2135
119551,657,71.9135
119551,658,71.5862
119551,661,71.4496
119551,662,70.0498
119551,663,69.1557
119551,664,70.0305
119551,665,71.0905
119551,668,70.9712
